Date,Song,Artist,Peak Position,Weeks in Charts
2024-01-03,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,1,-
2024-02-07,02.02.99,That Mexican OT,74,3
2024-04-17,16 Carriages,Beyonce,38,6
2023-09-27,2018,Rod Wave & Sadie Jean,1,-
2024-05-22,23,Chayce Beckham,45,20
2024-08-28,28,Zach Bryan,14,7
2024-04-17,3001,J. Cole,1,-
2024-08-28,360,Charli xcx,41,11
2023-12-13,3D,Jung Kook & Jack Harlow,5,9
2024-02-14,500lbs,Lil Tecca,51,20
2024-04-17,7 Minute Drill,J. Cole,1,-
2023-10-25,7969 Santa,Drake,16,2
2023-11-01,8am In Charlotte,Drake,17,3
2024-08-28,A Bar Song (Tipsy),Shaboozey,1,19
2024-02-14,A Cold Sunday,Lil Yachty,1,-
2024-01-03,A Holly Jolly Christmas,Burl Ives,4,39
2023-10-25,Acho PR,Bad Bunny| Arcangel| De La Ghetto & Nengo Flow,1,-
2024-05-22,Act II: Date @ 8,4Batz Featuring Drake,7,19
2024-05-15,Adivino,Myke Towers & Bad Bunny,63,2
2024-07-31,After Hours,Kehlani,8,-
2024-06-26,Agora Hills,Doja Cat,7,39
2024-04-03,Ain't No Love,Future & Metro Boomin,1,-
2024-08-28,Ain't No Love In Oklahoma,Luke Combs,13,14
2024-08-21,Alibi,Sevdaliza| Pabllo Vittar & Yseult,95,4
2024-02-07,All I Need Is You,Chris Janson,1,-
2024-01-03,All I Want For Christmas Is You,Mariah Carey,1,65
2024-06-19,All My Life,Falling In Reverse Featuring Jelly Roll,1,-
2024-02-14,All Of Me,21 Savage,18,4
2023-10-25,All The Parties,Drake Featuring Chief Keef,26,2
2024-04-24,All To Myself,Future| Metro Boomin & The Weeknd,1,-
2023-11-15,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,20,2
2023-10-11,All-American Bitch,Olivia Rodrigo,13,4
2024-04-10,Alliigator Tears,Beyonce,1,-
2024-08-21,Am I Okay?,Megan Moroney,86,2
2024-01-10,Amargura,Karol G,6,-
2024-04-10,Amen,Beyonce,1,-
2024-08-28,American Nights,Zach Bryan,21,7
2024-04-10,Ameriican Requiem,Beyonce,1,-
2023-09-27,Angels Don't Always Have Wings,Thomas Rhett,69,9
2023-10-25,Another Late Night,Drake Featuring Lil Yachty,29,2
2023-09-27,Another One Of Me,Diddy| French Montana & The Weeknd Featuring 21 Savage,1,-
2023-11-01,Anti-Hero,Taylor Swift,1,53
2024-07-24,Antichrist,Eminem,1,-
2024-08-28,Apple,Charli xcx,51,5
2023-12-20,Are You Gone Already,Nicki Minaj,1,-
2023-09-13,Area Codes,Kaliii,33,18
2024-06-26,Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,2,-
2024-08-28,Austin,Dasha,18,24
2023-10-18,Away From Home,Drake,1,-
2024-08-28,BAND4BAND,Central Cee & Lil Baby,18,13
2023-10-18,BBL Love Interlude,Drake,1,-
2023-11-01,Baby Nueva,Bad Bunny,34,2
2024-03-27,Baby Please,Ivan Cornejo,1,-
2024-05-22,Back In The A,Gunna,1,-
2023-09-27,Back Lit,Rod Wave,1,-
2024-06-19,Back Then Right Now,Tyler Hubbard,62,13
2024-03-06,Back To Me,¥$: Kanye West & Ty Dolla $ign,26,3
2023-11-22,Bad Blood (Taylor's Version),Taylor Swift,7,3
2024-01-17,Bad Idea Right?,Olivia Rodrigo,7,19
2024-07-24,Bad One,Eminem & White Gold,1,-
2023-11-01,Bahamas Promises,Drake,20,3
2023-12-20,Bahm Bahm,Nicki Minaj,1,-
2023-09-27,Ballad Of A Homeschooled Girl,Olivia Rodrigo,24,2
2024-07-03,Bandit,Don Toliver,38,18
2023-12-20,Barbie Dangerous,Nicki Minaj,1,-
2023-11-22,Barbie World,Nicki Minaj & Ice Spice With Aqua,7,21
2024-07-24,Bass Boat,Zach Bryan,61,2
2023-10-25,Baticano,Bad Bunny,1,-
2024-08-28,Beautiful As You,Thomas Rhett,77,11
2024-08-28,Beautiful Things,Benson Boone,2,31
2023-12-27,Beep Beep,Nicki Minaj,64,2
2024-02-22,Beg Forgiveness,¥$: Kanye West & Ty Dolla $ign,1,-
2024-03-27,Bellakeo,Peso Pluma & Anitta,53,14
2024-08-28,Belong Together,Mark Ambor,74,16
2024-04-03,Best For Me,Joyner Lucas & Jelly Roll,1,-
2024-08-07,Better Days,Zach Bryan Featuring John Mayer,46,4
2024-01-17,Better Place,*NSYNC,25,6
2023-11-22,Better Than Ever,YoungBoy Never Broke Again & Rod Wave,1,-
2024-08-28,Big Dawgs,Hanumankind X Kalmi,23,4
2023-12-20,Big Difference,Nicki Minaj,1,-
2024-02-07,Big Foot,Nicki Minaj,1,-
2024-08-21,Big Mama,Latto,1,-
2023-10-11,Bipolar,Peso Pluma x Jasiel Nunez x Junior H,60,4
2024-08-28,Birds Of A Feather,Billie Eilish,5,14
2024-06-12,Bittersuite,Billie Eilish,36,3
2024-02-28,Bittersweet,Gunna,1,-
2024-04-17,Blackbiird,Beyonce| Tanner Adell| Brittney Spencer| Tiera Kennedy & Reyna Roberts,27,2
2023-11-22,Blank Space (Taylor's Version),Taylor Swift,12,3
2023-11-15,Bleed,The Kid LAROI,1,-
2024-06-26,Blue,Billie Eilish,25,5
2024-01-03,Blue Christmas,Elvis Presley,18,13
2024-08-21,Blue Green Red,Drake,1,-
2024-05-22,Boa,Megan Thee Stallion,1,-
2024-04-17,Bodyguard,Beyonce,26,2
2023-11-29,Bongos,Cardi B & Megan Thee Stallion,14,11
2024-07-17,Boons,Zach Bryan,1,-
2023-10-11,Boys Of Faith,Zach Bryan Featuring Bon Iver,26,2
2023-11-01,Boyz Don't Cry,Rod Wave,5,-
2024-07-31,Brand New Dance,Eminem,25,2
2024-04-03,Breathe,Yeat,42,6
2024-07-03,Brother Stone,Don Toliver Featuring Kodak Black,61,2
2024-08-28,Bulletproof,Nate Smith,37,20
2024-06-26,Burgundy,$uicideboy$,1,-
2024-03-20,Burn,¥$: Ye & Ty Dolla $ign,33,5
2024-04-17,Burn It Down,Parker McCollum,42,25
2024-01-10,Burn; Burn; Burn,Zach Bryan,3,-
2023-09-27,Bury Me In Georgia,Kane Brown,34,19
2024-06-19,But Daddy I Love Him,Taylor Swift,7,8
2023-12-13,But I Got A Beer In My Hand,Luke Bryan,91,8
2024-04-03,Bye,Ariana Grande,25,3
2024-08-14,Bye Bye Bye,*NSYNC,24,-
2024-08-28,California Sober,Post Malone Featuring Chris Stapleton,1,-
2023-11-01,Call Your Friends,Rod Wave,9,-
2023-11-29,Calling For You,Drake Featuring 21 Savage,4,-
2023-10-11,Calm Down,Rema & Selena Gomez,3,57
2024-04-24,Came To The Party,Future & Metro Boomin,1,-
2024-01-31,Can't Catch Me Now,Olivia Rodrigo,56,12
2024-01-17,Can't Have Mine,Dylan Scott,57,13
2024-06-26,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,19
2024-05-08,Cassandra,Taylor Swift,44,2
2024-08-28,Casual,Chappell Roan,59,9
2023-10-04,Checkmate,Rod Wave,55,2
2023-09-06,Chemical,Post Malone,13,20
2024-08-28,Chevrolet,Dustin Lynch Featuring Jelly Roll,61,10
2024-08-28,Chihiro,Billie Eilish,12,14
2024-07-31,Chk Chk Boom,Stray Kids,1,-
2024-05-15,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,36,3
2024-01-03,Christmas (Baby Please Come Home),Darlene Love,15,22
