Song,Artist,Peak Position,Weeks in Charts,Category,Winner
360,Charli xcx,41,11,Record of the Year,No
A Bar Song (Tipsy),Shaboozey,1,19,Best Country Solo Performance,No
Apple,Charli xcx,51,5,Best Pop Solo Performance,No
Big Mama,Latto,1,-,Best Melodic Rap Performance,No
Die With A Smile,Lady Gaga & Bruno Mars,1,-,Best Pop Duo/Group Performance,Yes
Enough (Miami),Cardi B,9,14,Best Rap Performance,No
Espresso,Sabrina Carpenter,3,19,Record of the Year,No
Espresso,Sabrina Carpenter,3,19,Best Pop Solo Performance,Yes
Houdini,Eminem,2,12,Best Rap Performance,No
I Am Not Okay,Jelly Roll,29,10,Best Country Solo Performance,No
Not Like Us,Kendrick Lamar,1,16,Record of the Year,Yes
Not Like Us,Kendrick Lamar,1,16,Best Rap Performance,Yes
Now And Then,The Beatles,7,2,Record of the Year,No
Now And Then,The Beatles,7,2,Best Rock Performance,Yes
Residuals,Chris Brown,1,-,Best R&B Performance,No
Saturn,SZA,6,26,Best R&B Performance,No
Yeah Glo!,GloRilla,28,25,Best Rap Performance,No
