Song,Artist,Peak Position,Weeks in Charts,Category,Winner,Duration_ms,Explicit,Popularity,handsomeness
360,Charli xcx,41,11,Record of the Year,No,133805,True,82,
A Bar Song (Tipsy),Shaboozey,1,19,Best Country Solo Performance,No,171291,True,87,
Apple,Charli xcx,51,5,Best Pop Solo Performance,No,151739,False,82,
Big Mama,Latto,1,-,Best Melodic Rap Performance,No,174000,True,58,
Die With A Smile,Lady Gaga & Bruno Mars,1,-,Best Pop Duo/Group Performance,Yes,251667,False,100,
Enough (Miami),Cardi B,9,14,Best Rap Performance,No,158727,True,64,
Espresso,Sabrina Carpenter,3,19,Record of the Year,No,175459,False,67,
Espresso,Sabrina Carpenter,3,19,Record of the Year,No,175459,False,67,
Espresso,Sabrina Carpenter,3,19,Best Pop Solo Performance,Yes,175459,False,67,
Espresso,Sabrina Carpenter,3,19,Best Pop Solo Performance,Yes,175459,False,67,
Houdini,Eminem,2,12,Best Rap Performance,No,227239,True,80,
I Am Not Okay,Jelly Roll,29,10,Best Country Solo Performance,No,198066,False,77,
Not Like Us,Kendrick Lamar,1,16,Record of the Year,Yes,274192,True,96,10
Not Like Us,Kendrick Lamar,1,16,Record of the Year,Yes,274192,True,96,10
Not Like Us,Kendrick Lamar,1,16,Best Rap Performance,Yes,274192,True,96,10
Not Like Us,Kendrick Lamar,1,16,Best Rap Performance,Yes,274192,True,96,10
Now And Then,The Beatles,7,2,Record of the Year,No,248333,False,66,
Now And Then,The Beatles,7,2,Record of the Year,No,248333,False,66,
Now And Then,The Beatles,7,2,Best Rock Performance,Yes,248333,False,66,
Now And Then,The Beatles,7,2,Best Rock Performance,Yes,248333,False,66,
Residuals,Chris Brown,1,-,Best R&B Performance,No,215178,False,75,
Saturn,SZA,6,26,Best R&B Performance,No,186191,False,82,
Yeah Glo!,GloRilla,28,25,Best Rap Performance,No,142702,True,69,
